n,z,bindingEnergy(keV)
1,0,0
1,1,1112.2831
2,1,2827.2654
3,1,1720.4491
4,1,1336.3592
5,1,961.6395
6,1,940
1,2,2572.68044
2,2,7073.9156
3,2,5512.1325
4,2,4878.5199
5,2,4123.0578
6,2,3924.521
7,2,3349.038
8,2,2995.134
1,3,1153.7603
2,3,5266.1325
3,3,5332.3312
4,3,5606.4401
5,3,5159.7124
6,3,5037.7685
7,3,4531.3512
8,3,4155.3817
9,3,3791.5999
10,3,3507.6307
1,4,18
2,4,4487.2478
3,4,5371.5487
4,4,7062.4356
5,4,6462.6693
6,4,6497.6306
7,4,5952.5402
8,4,5720.7223
9,4,5241.4359
10,4,4993.8973
11,4,4540.9708
12,4,4285.2851
1,5,-467
2,5,3558.7055
3,5,4717.1551
4,5,6257.0713
5,5,6475.0835
6,5,6927.7323
7,5,6631.2237
8,5,6496.4194
9,5,6101.6451
10,5,5880.0438
11,5,5507.3535
12,5,5269.6677
13,5,4976.6306
14,5,4719.6346
15,5,4405.6529
16,5,4152.5265
2,6,3101.5242
3,6,4337.4233
4,6,6032.0426
5,6,6676.4563
6,6,7680.1446
7,6,7469.8495
8,6,7520.3198
9,6,7100.1696
10,6,6922.0546
11,6,6558.0262
12,6,6426.1321
13,6,6118.274
14,6,5961.4356
15,6,5674
16,6,5421.0778
17,6,5077
3,7,3643.6724
4,7,5358.4023
5,7,6170.11
6,7,7238.8634
7,7,7475.6148
8,7,7699.4603
9,7,7373.7971
10,7,7286.2294
11,7,7038.5627
12,7,6948.5452
13,7,6709.1717
14,7,6609.0159
15,7,6378.5347
16,7,6236.6721
17,7,5887
18,7,5613
3,8,3162.4372
4,8,4881.9755
5,8,5811.7636
6,8,7052.2783
7,8,7463.6915
8,8,7976.2072
9,8,7750.7291
10,8,7767.0981
11,8,7566.4952
12,8,7568.5707
13,8,7389.3747
14,8,7364.8722
15,8,7163.4856
16,8,7039.6855
17,8,6727.8058
18,8,6497.479
19,8,6185
20,8,5988
4,9,4297
5,9,5285.2091
6,9,6497.4597
7,9,6964.049
8,9,7542.3284
9,9,7631.6383
10,9,7779.0192
11,9,7720.1351
12,9,7738.2934
13,9,7624.2954
14,9,7622.3447
15,9,7463.5831
16,9,7336.3065
17,9,7082.2497
18,9,6879.6662
19,9,6626.8567
20,9,6444.0314
21,9,6205
22,9,6011
5,10,4868.7285
6,10,6083.1777
7,10,6640.4991
8,10,7341.2577
9,10,7567.3431
10,10,8032.2412
11,10,7971.7136
12,10,8080.4656
13,10,7955.2561
14,10,7993.3252
15,10,7839.7994
16,10,7751.911
17,10,7520.4151
18,10,7388.3463
19,10,7167.0673
20,10,7034.5317
21,10,6813.0902
22,10,6671
23,10,6436
24,10,6287
6,11,5522.7653
7,11,6202.2176
8,11,6937.8864
9,11,7298.5028
10,11,7765.5581
11,11,7915.6624
12,11,8111.4936
13,11,8063.4882
14,11,8101.3979
15,11,8004.2013
16,11,7956.9467
17,11,7799.2644
18,11,7682.1522
19,11,7501.9685
20,11,7398.6778
21,11,7219.8815
22,11,7089.9262
23,11,6886.4377
24,11,6745
25,11,6557
26,11,6403
27,11,6216
28,11,6056
7,12,5901.4992
8,12,6728.0252
9,12,7105.0317
10,12,7662.7645
11,12,7901.1229
12,12,8260.7103
13,12,8223.5028
14,12,8333.8711
15,12,8263.8525
16,12,8272.4531
17,12,8113.5317
18,12,8054.425
19,12,7869.1886
20,12,7803.8411
21,12,7636.4382
22,12,7550.3919
23,12,7356.2338
24,12,7244.4202
25,12,7055.1115
26,12,6928
27,12,6734
28,12,6598
29,12,6425
8,13,6297
9,13,6782
10,13,7335.7275
11,13,7649.5806
12,13,8021.1366
13,13,8149.7653
14,13,8331.5533
15,13,8309.8969
16,13,8348.4647
17,13,8261.1049
18,13,8225.518
19,13,8100.3449
20,13,8020.6172
21,13,7860.3506
22,13,7787.1243
23,13,7623.5154
24,13,7531.316
25,13,7370
26,13,7260
27,13,7097
28,13,6980
29,13,6829
30,13,6712
8,14,6044
9,14,6554
10,14,7167.2329
11,14,7480.1109
12,14,7924.7083
13,14,8124.342
14,14,8447.7445
15,14,8448.6361
16,14,8520.6549
17,14,8458.2916
18,14,8481.469
19,14,8361.0596
20,14,8337.1659
21,14,8169.5644
22,14,8112.5199
23,14,7952.9033
24,14,7892.8297
25,14,7730.9793
26,14,7655.8247
27,14,7482
28,14,7410
29,14,7251
30,14,7156
31,14,7004
9,15,6165
10,15,6794
11,15,7198
12,15,7661.0894
13,15,7907.4842
14,15,8251.2368
15,15,8353.5064
16,15,8481.1677
17,15,8464.1203
18,15,8513.8073
19,15,8448.1856
20,15,8446.2496
21,15,8307.8692
22,15,8267.5561
23,15,8147.2749
24,15,8097.9701
25,15,7981.4177
26,15,7906.5513
27,15,7765.9122
28,15,7681
29,15,7552
30,15,7456
31,15,7320
32,15,7209
10,16,6525
11,16,6960
12,16,7478.7911
13,16,7746.3826
14,16,8122.7081
15,16,8281.8013
16,16,8493.1301
17,16,8497.6304
18,16,8583.4986
19,16,8537.8511
20,16,8575.39
21,16,8459.9363
22,16,8448.7829
23,16,8344.2698
24,16,8329.3255
25,16,8229.6358
26,16,8193.2275
27,16,8063.8276
28,16,7996.0154
29,16,7867
30,16,7785
31,16,7652
32,16,7552
33,16,7400
11,17,6587
12,17,7129
13,17,7472.1698
14,17,7869.2101
15,17,8072.4058
16,17,8304.7557
17,17,8398.9706
18,17,8520.279
19,17,8521.9322
20,17,8570.2816
21,17,8505.4817
22,17,8494.4032
23,17,8427.766
24,17,8412.9593
25,17,8345.8864
26,17,8323.8672
27,17,8234.4788
28,17,8181.5991
29,17,8080.7757
30,17,7992
31,17,7883
32,17,7785
33,17,7651
34,17,7530
35,17,7386
11,18,6276
12,18,6866
13,18,7252
14,18,7700.0089
15,18,7928.9559
16,18,8197.6724
17,18,8327.4621
18,18,8519.9096
19,18,8527.1406
20,18,8614.2807
21,18,8562.5988
22,18,8595.2594
23,18,8534.3733
24,18,8555.6141
25,18,8488.2382
26,18,8493.8411
27,18,8419.9526
28,18,8412.3835
29,18,8311.425
30,18,8243.6656
31,18,8132
32,18,8054
33,18,7922
34,18,7827
35,18,7677
36,18,7578
12,19,6487
13,19,6920
14,19,7392
15,19,7670
16,19,7965.8409
17,19,8142.2233
18,19,8339.848
19,19,8438.0593
20,19,8557.0258
21,19,8538.0907
22,19,8576.0731
23,19,8551.2571
24,19,8576.2204
25,19,8546.7023
26,19,8554.6747
27,19,8518.0428
28,19,8514.8795
29,19,8434.2324
30,19,8372.2753
31,19,8288.5833
32,19,8221.335
33,19,8115.0303
34,19,8022.8488
35,19,7891
36,19,7792
37,19,7663
38,19,7563
39,19,7437
40,19,7332
13,20,6657
14,20,7173
15,20,7476
16,20,7815.8799
17,20,8003.4567
18,20,8240.0434
19,20,8369.6711
20,20,8551.3046
21,20,8546.7075
22,20,8616.5646
23,20,8600.6653
24,20,8658.1769
25,20,8630.5467
26,20,8668.9848
27,20,8639.3548
28,20,8666.6916
29,20,8594.85
30,20,8550.1639
31,20,8476.9135
32,20,8429.3821
33,20,8330.5778
34,20,8247.4967
35,20,8125.926
36,20,8033.1654
37,20,7912
38,20,7828
39,20,7708
40,20,7627
41,20,7503
14,21,6828
15,21,7166
16,21,7525
17,21,7751
18,21,8013.4575
19,21,8173.6697
20,21,8369.1979
21,21,8444.9303
22,21,8530.8265
23,21,8557.3805
24,21,8618.941
25,21,8622.0215
26,21,8665.0958
27,21,8656.2097
28,21,8686.2805
29,21,8633.4747
30,21,8597.2213
31,21,8534.6695
32,21,8492.8325
33,21,8404.8115
34,21,8333.3694
35,21,8233.5781
36,21,8158.1666
37,21,8054.9436
38,21,7976.4073
39,21,7873
40,21,7794
41,21,7688
42,21,7603
15,22,6926
16,22,7319
17,22,7566
18,22,7865.8632
19,22,8034.3889
20,22,8259.24
21,22,8352.8054
22,22,8533.5215
23,22,8555.7321
24,22,8656.4623
25,22,8661.2325
26,22,8723.0122
27,22,8711.1625
28,22,8755.7227
29,22,8708.9912
30,22,8691.8193
31,22,8631.1256
32,22,8599.6917
33,22,8518.9696
34,22,8467.9495
35,22,8372.9008
36,22,8307.629
37,22,8218
38,22,8152.7858
39,22,8058
40,22,7990
41,22,7891
42,22,7826
43,22,7726
16,23,7031
17,23,7310
18,23,7625
19,23,7824
20,23,8069.5129
21,23,8203.4567
22,23,8380.0394
23,23,8486.1423
24,23,8582.2348
25,23,8623.0686
26,23,8682.9135
27,23,8695.9032
28,23,8742.0852
29,23,8714.569
30,23,8710.1425
31,23,8662.1382
32,23,8637.3391
33,23,8574.7006
34,23,8535.1967
35,23,8458.156
36,23,8403.8034
37,23,8322.8751
38,23,8271.0417
39,23,8187.7565
40,23,8130.7809
41,23,8045
42,23,7981
43,23,7894
44,23,7829
17,24,7116
18,24,7456
19,24,7680
20,24,7949.6265
21,24,8087.7286
22,24,8303.8233
23,24,8407.2067
24,24,8572.2553
25,24,8613.2777
26,24,8701.0188
27,24,8711.9923
28,24,8775.9946
29,24,8760.2103
30,24,8777.9672
31,24,8731.9362
32,24,8723.2609
33,24,8663.3998
34,24,8643.9987
35,24,8568.5995
36,24,8540.1876
37,24,8460.1734
38,24,8427.3871
39,24,8347.5398
40,24,8303.5626
41,24,8218
42,24,8168
43,24,8079
44,24,8026
45,24,7939
46,24,7884
18,25,7213
19,25,7457
20,25,7747
21,25,7916.0805
22,25,8135.3117
23,25,8274.1924
24,25,8439.915
25,25,8532.6823
26,25,8633.7602
27,25,8670.4087
28,25,8734.1798
29,25,8737.9768
30,25,8765.0247
31,25,8738.3358
32,25,8736.7146
33,25,8696.6438
34,25,8680.9224
35,25,8628.1392
36,25,8598.9157
37,25,8538.5002
38,25,8505.102
39,25,8437.4175
40,25,8400.6822
41,25,8331.7986
42,25,8281
43,25,8209
44,25,8155
45,25,8084
46,25,8030
47,25,7955
48,25,7895
19,26,7299
20,26,7603
21,26,7790
22,26,8022.7254
23,26,8161.3121
24,26,8354.0268
25,26,8460.4977
26,26,8609.6079
27,26,8648.7985
28,26,8736.3846
29,26,8746.5981
30,26,8790.3563
31,26,8770.2829
32,26,8792.2534
33,26,8754.7746
34,26,8755.8539
35,26,8703.7686
36,26,8692.8831
37,26,8631.5499
38,26,8612.3888
39,26,8546.347
40,26,8521.7245
41,26,8449.9359
42,26,8418
43,26,8345
44,26,8308
45,26,8235
46,26,8195
47,26,8121
48,26,8076
49,26,7996
50,26,7943
20,27,7396
21,27,7595
22,27,7840
23,27,8000.6387
24,27,8193.2549
25,27,8325.5606
26,27,8477.6578
27,27,8569.2199
28,27,8669.6204
29,27,8694.8386
30,27,8741.8845
31,27,8738.9719
32,27,8768.0379
33,27,8746.7692
34,27,8756.151
35,27,8721.3347
36,27,8717.7972
37,27,8675.5223
38,27,8656.8848
39,27,8605.9419
40,27,8581.7422
41,27,8520.1301
42,27,8495.4062
43,27,8434.198
44,27,8398.7344
45,27,8338
46,27,8302
47,27,8239
48,27,8197
49,27,8131
50,27,8082
51,27,7997
20,28,7236
21,28,7450
22,28,7702
23,28,7870
24,28,8083.8977
25,28,8217.0749
26,28,8393.0328
27,28,8497.3225
28,28,8642.7811
29,28,8670.9364
30,28,8732.0621
31,28,8736.5912
32,28,8780.7769
33,28,8765.0281
34,28,8794.5555
35,28,8763.4955
36,28,8777.4637
37,28,8736.2424
38,28,8739.5086
39,28,8695.7505
40,28,8682.4667
41,28,8623.0998
42,28,8604.2917
43,28,8543.1564
44,28,8520.2118
45,28,8457.6529
46,28,8433
47,28,8369
48,28,8338
49,28,8272
50,28,8238
51,28,8150
52,28,8088
53,28,8000
54,28,7935
23,29,7671
24,29,7891
25,29,8045
26,29,8233.997
27,29,8355.9907
28,29,8503.2646
29,29,8570.9696
30,29,8642.0027
31,29,8665.6047
32,29,8715.5148
33,29,8718.0839
34,29,8752.1404
35,29,8739.0736
36,29,8757.0967
37,29,8731.473
38,29,8737.4597
39,29,8701.8913
40,29,8695.2044
41,29,8646.8655
42,29,8635.0233
43,29,8586.5256
44,29,8568.5699
45,29,8521.5633
46,29,8495.0801
47,29,8443.6018
48,29,8411.2501
49,29,8354.6695
50,29,8320.938
51,29,8246
52,29,8185
53,29,8108
54,29,8044
55,29,7965
24,30,7742
25,30,7904
26,30,8106
27,30,8231
28,30,8395.9467
29,30,8473.7802
30,30,8583.0524
31,30,8610.3098
32,30,8679.3451
33,30,8686.2866
34,30,8735.9057
35,30,8724.266
36,30,8759.6335
37,30,8734.1534
38,30,8755.682
39,30,8722.7311
40,30,8729.8086
41,30,8689.0417
42,30,8691.8053
43,30,8648.3455
44,30,8642.7547
45,30,8592.4981
46,30,8582.2735
47,30,8530.0037
48,30,8507.38
49,30,8450.5825
50,30,8423.5457
51,30,8351.9262
52,30,8301.1175
53,30,8226
54,30,8171
55,30,8090
56,30,8032
25,31,7707
26,31,7916
27,31,8059
28,31,8232
29,31,8327
30,31,8446.4313
31,31,8518.6449
32,31,8583.9267
33,31,8611.6317
34,31,8662.1601
35,31,8669.3631
36,31,8707.533
37,31,8701.2195
38,31,8724.5798
39,31,8709.2808
40,31,8717.605
41,31,8687.0893
42,31,8693.874
43,31,8663.1676
44,31,8660.7565
45,31,8624.5272
46,31,8613.3907
47,31,8577.1043
48,31,8556.0725
49,31,8508.4545
50,31,8483.3576
51,31,8421.0494
52,31,8372.5756
53,31,8307.525
54,31,8253.5687
55,31,8182
56,31,8124
57,31,8050
26,32,7770
27,32,7924
28,32,8113
29,32,8215
30,32,8347
31,32,8418.7167
32,32,8528.8243
33,32,8555.0584
34,32,8625.4383
35,32,8633.0884
36,32,8688.1371
37,32,8680.964
38,32,8721.7028
39,32,8703.3118
40,32,8731.7459
41,32,8705.05
42,32,8725.2011
43,32,8695.6096
44,32,8705.2364
45,32,8671.0293
46,32,8671.6636
47,32,8634.5089
48,32,8627.5707
49,32,8580.6587
50,32,8563.7567
51,32,8504.3462
52,32,8465.5244
53,32,8401.7689
54,32,8354.63
55,32,8285
56,32,8236
57,32,8161
58,32,8109
27,33,7735
28,33,7930
29,33,8049
30,33,8193
31,33,8286
32,33,8396.2351
33,33,8468.4034
34,33,8530.5685
35,33,8557.7457
36,33,8611.8214
37,33,8621.5541
38,33,8663.935
39,33,8660.3786
40,33,8689.6099
41,33,8680.002
42,33,8700.8748
43,33,8682.8172
44,33,8695.9789
45,33,8673.876
46,33,8676.6172
47,33,8651.2824
48,33,8648.0571
49,33,8611.4153
50,33,8599.654
51,33,8547.9385
52,33,8510.9851
53,33,8456.7215
54,33,8413.8521
55,33,8351
56,33,8304
57,33,8240
58,33,8189
59,33,8121
29,34,7917
30,34,8075
31,34,8170
32,34,8300
33,34,8369.5344
34,34,8477.0482
35,34,8503.7082
36,34,8576.0338
37,34,8586.0606
38,34,8644.4902
39,34,8641.5591
40,34,8687.7155
41,34,8678.9139
42,34,8711.4781
43,34,8694.6908
44,34,8717.8072
45,34,8695.5923
46,34,8710.8142
47,34,8685.9998
48,34,8693.1973
49,34,8658.556
50,34,8658.7935
51,34,8610.3045
52,34,8581.8224
53,34,8529.092
54,34,8495.0045
55,34,8435.2799
56,34,8395.7672
57,34,8334.8382
58,34,8290
59,34,8225
60,34,8180
61,34,8112
30,35,7904
31,35,8014
32,35,8148
33,35,8239
34,35,8344.9026
35,35,8414.7964
36,35,8481.4629
37,35,8511.3126
38,35,8568.0803
39,35,8583.5615
40,35,8627.6497
41,35,8635.883
42,35,8666.8073
43,35,8661.9594
44,35,8687.5956
45,35,8677.6541
46,35,8695.9465
47,35,8682.4953
48,35,8693.3852
49,35,8671.3294
50,35,8673.5926
51,35,8632.3659
52,35,8605.9105
53,35,8563.7479
54,35,8530.7802
55,35,8478.1865
56,35,8441.9242
57,35,8384.9123
58,35,8345.5986
59,35,8287
60,35,8245
61,35,8184
62,35,8140
63,35,8078
31,36,7883
32,36,8034
33,36,8129
34,36,8256
35,36,8327.131
36,36,8429.3193
37,36,8460.1847
38,36,8533.039
39,36,8553.4399
40,36,8608.8077
41,36,8616.837
42,36,8661.2385
43,36,8657.113
44,36,8692.9301
45,36,8682.8206
46,36,8710.6754
47,36,8695.7295
48,36,8717.4473
49,36,8698.5633
50,36,8712.0295
51,36,8675.284
52,36,8656.8499
53,36,8614.8158
54,36,8591.2599
55,36,8541.7519
56,36,8512.675
57,36,8458.1085
58,36,8424.3318
59,36,8365.9963
60,36,8330.8721
61,36,8269.8645
62,36,8234
63,36,8175
64,36,8134
65,36,8075
34,37,8118
35,37,8202
36,37,8305.0821
37,37,8381.7123
38,37,8448.2762
39,37,8486.2161
40,37,8537.3396
41,37,8558.3512
42,37,8601.1401
43,37,8611.676
44,37,8645.5139
45,37,8647.4275
46,37,8675.2193
47,37,8676.2244
48,37,8697.4416
49,37,8696.9014
50,37,8710.9843
51,37,8681.1154
52,37,8664.1895
53,37,8631.5262
54,37,8607.5621
55,37,8569.4225
56,37,8540.9209
57,37,8492.7644
58,37,8460.1967
59,37,8408.8963
60,37,8376.1872
61,37,8330.7294
62,37,8295.301
63,37,8244.5085
64,37,8206.1753
65,37,8152.7443
66,37,8112
67,37,8057
35,38,8102
36,38,8221
37,38,8296.5116
38,38,8393.9294
39,38,8435.9188
40,38,8500.0971
41,38,8523.8558
42,38,8578.5966
43,38,8587.3545
44,38,8635.719
45,38,8638.4076
46,38,8677.5132
47,38,8675.7193
48,38,8708.4566
49,38,8705.2363
50,38,8732.5958
51,38,8705.923
52,38,8696.0043
53,38,8663.8759
54,38,8648.907
55,38,8612.7875
56,38,8593.8344
57,38,8549.0875
58,38,8521.2041
59,38,8471.8489
60,38,8445.7385
61,38,8402.5235
62,38,8372.2012
63,38,8324.7411
64,38,8291.2213
65,38,8242
66,38,8206
67,38,8152
68,38,8114
69,38,8057
36,39,8089
37,39,8173
38,39,8278
39,39,8349
40,39,8416.7788
41,39,8454.2759
42,39,8505.9031
43,39,8529.2762
44,39,8573.6571
45,39,8587.7812
46,39,8628.1486
47,39,8638.4293
48,39,8674.8451
49,39,8682.5396
50,39,8714.011
51,39,8693.3778
52,39,8684.9421
53,39,8661.5894
54,39,8648.9054
55,39,8622.8068
56,39,8604.9644
57,39,8569.4269
58,39,8541.4616
59,39,8497.6162
60,39,8476.6938
61,39,8439.4151
62,39,8413.3305
63,39,8371.9172
64,39,8342.6336
65,39,8298
66,39,8262
67,39,8215
68,39,8178
69,39,8129
70,39,8089
37,40,8075
38,40,8194
39,40,8267
40,40,8365
41,40,8395.1519
42,40,8465.4666
43,40,8488.3997
44,40,8549.0301
45,40,8564.0394
46,40,8614.0523
47,40,8623.6545
48,40,8666.0339
49,40,8673.3865
50,40,8709.9699
51,40,8693.3149
52,40,8692.6783
53,40,8671.6207
54,40,8666.8016
55,40,8643.5924
56,40,8635.3283
57,40,8603.7182
58,40,8581.3984
59,40,8539.225
60,40,8522.1066
61,40,8485.8439
62,40,8466.294
63,40,8425.8337
64,40,8402.3159
65,40,8358.598
66,40,8330
67,40,8284
68,40,8253
69,40,8204
70,40,8171
71,40,8118
72,40,8081
73,40,8027
38,41,8066
39,41,8151
40,41,8248
41,41,8312
42,41,8378.9889
43,41,8417.9563
44,41,8473.7117
45,41,8502.2231
46,41,8551.7579
47,41,8572.4013
48,41,8616.8184
49,41,8633.377
50,41,8670.8983
51,41,8662.3731
52,41,8664.1849
53,41,8648.9014
54,41,8647.2133
55,41,8628.8868
56,41,8623.1384
57,41,8596.3016
58,41,8578.9859
59,41,8548.4683
60,41,8534.8355
61,41,8504.8675
62,41,8488.332
63,41,8453.3832
64,41,8431.6925
65,41,8393.2657
66,41,8367.0898
67,41,8325.6604
68,41,8297.1307
69,41,8255.2607
70,41,8223
71,41,8178
72,41,8143
73,41,8097
74,41,8061
75,41,8012
39,42,8054
40,42,8163
41,42,8234
42,42,8325
43,42,8361.332
44,42,8434.7175
45,42,8462.4243
46,42,8523.9087
47,42,8544.9851
48,42,8597.0285
49,42,8613.6286
50,42,8657.7312
51,42,8651.4095
52,42,8662.3341
53,42,8648.7212
54,42,8653.988
55,42,8635.0926
56,42,8635.1691
57,42,8607.7982
58,42,8604.6626
59,42,8572.9159
60,42,8568.3994
61,42,8538.2672
62,42,8527.9063
63,42,8494.863
64,42,8479.5202
65,42,8442.219
66,42,8422.1581
67,42,8381.4163
68,42,8359.293
69,42,8315.2932
70,42,8291
71,42,8246
72,42,8219
73,42,8173
74,42,8143
75,42,8096
76,42,8067
77,42,8019
40,43,8043
41,43,8120
42,43,8215
43,43,8280
44,43,8347.7449
45,43,8389.8338
46,43,8450.5758
47,43,8483.36
48,43,8536.6558
49,43,8563.544
50,43,8608.5782
51,43,8608.7373
52,43,8622.6911
53,43,8614.8673
54,43,8623.7254
55,43,8610.0047
56,43,8613.6105
57,43,8595.1184
58,43,8593.1366
59,43,8570.6514
60,43,8566.1045
61,43,8541.107
62,43,8534.6074
63,43,8506.557
64,43,8492.8979
65,43,8462.8172
66,43,8444.1796
67,43,8411.2603
68,43,8390.0906
69,43,8353.6217
70,43,8329.4652
71,43,8290.2599
72,43,8264
73,43,8223
74,43,8195
75,43,8153
76,43,8126
77,43,8083
78,43,8054
79,43,8011
41,44,8027
42,44,8133
43,44,8201
44,44,8298
45,44,8340.376
46,44,8409.7684
47,44,8442.9287
48,44,8504.774
49,44,8531.4627
50,44,8583.662
51,44,8587.4706
52,44,8609.413
53,44,8604.2799
54,44,8620.314
55,44,8608.7132
56,44,8619.3593
57,44,8601.366
58,44,8607.4275
59,44,8584.3656
60,44,8587.3998
61,44,8561.9016
62,44,8560.9406
63,44,8533.3676
64,44,8527.2267
65,44,8496.228
66,44,8486.3123
67,44,8452.9582
68,44,8439.2431
69,44,8402.6857
70,44,8385.3351
71,44,8346.814
72,44,8326.884
73,44,8285.5625
74,44,8263
75,44,8220
76,44,8199
77,44,8156
78,44,8132
79,44,8089
80,44,8065
81,44,8023
43,45,8090
44,45,8189
45,45,8254
46,45,8328
47,45,8373.4211
48,45,8434.8255
49,45,8472.4033
50,45,8525.3707
51,45,8534.6735
52,45,8559.8949
53,45,8560.8038
54,45,8580.1959
55,45,8575.1732
56,45,8588.2172
